Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
26-SEP-2017,9875.25,9891.35,9813,9871.5,196792799,9754.02
25-SEP-2017,9960.1,9960.5,9816.05,9872.6,228206970,11258.68
22-SEP-2017,10094.35,10095.05,9952.8,9964.4,233621596,11941.88
21-SEP-2017,10139.6,10158.9,10058.6,10121.9,197710666,11114.28
20-SEP-2017,10160.95,10171.05,10134.2,10141.15,205605243,10105.71
19-SEP-2017,10175.6,10178.95,10129.95,10147.55,193345992,8796.21
18-SEP-2017,10133.1,10171.7,10131.3,10153.1,160852680,8106.66
15-SEP-2017,10062.35,10115.15,10043.65,10085.4,274799134,13650.9
14-SEP-2017,10107.4,10126.5,10070.35,10086.6,232637517,11047.46
13-SEP-2017,10099.25,10131.95,10063.15,10079.3,221608053,10682.41
12-SEP-2017,10056.85,10097.55,10028.05,10093.05,188248293,9894.2
11-SEP-2017,9971.75,10028.65,9968.8,10006.05,178409875,9545.94
08-SEP-2017,9958.65,9963.6,9913.3,9934.8,168698771,8792.49
07-SEP-2017,9945.85,9964.85,9917.2,9929.9,194626599,9455.48
06-SEP-2017,9899.25,9931.55,9882.55,9916.2,153767846,8926.98
05-SEP-2017,9933.25,9963.1,9901.05,9952.2,143522342,7566.62
04-SEP-2017,9984.15,9988.4,9861,9912.85,153369495,8069.64
01-SEP-2017,9937.65,9983.45,9909.85,9974.4,162730656,9314.82
31-AUG-2017,9905.7,9925.1,9856.95,9917.9,337782004,14619.43
30-AUG-2017,9859.5,9909.45,9850.8,9884.4,162704136,8008.72
29-AUG-2017,9886.4,9887.35,9783.75,9796.05,178668444,8469.09
28-AUG-2017,9907.15,9925.75,9882,9912.8,164493772,9900.06
24-AUG-2017,9881.2,9881.5,9848.85,9857.05,190398702,10392.63
23-AUG-2017,9803.05,9857.9,9786.75,9852.5,173815509,9961.13
22-AUG-2017,9815.75,9828.45,9752.6,9765.55,189267122,9850.89
21-AUG-2017,9864.25,9884.35,9740.1,9754.35,211627775,11764
18-AUG-2017,9865.95,9865.95,9783.65,9837.4,253931517,15636.16
17-AUG-2017,9945.55,9947.8,9883.75,9904.15,203652311,9927.47
16-AUG-2017,9825.85,9903.95,9773.85,9897.3,226269013,10815.38
14-AUG-2017,9755.75,9818.3,9752.1,9794.15,201613585,9486.82
11-AUG-2017,9712.15,9771.65,9685.55,9710.8,294732998,13435.56
10-AUG-2017,9872.85,9892.65,9776.2,9820.25,242820594,12040.13
09-AUG-2017,9961.15,9969.8,9893.05,9908.05,174395293,8831.72
08-AUG-2017,10068.35,10083.8,9947,9978.55,209645343,10780.41
07-AUG-2017,10074.8,10088.1,10046.35,10057.4,141566282,7827.95
04-AUG-2017,10008.6,10075.25,9988.35,10066.4,184082134,10397.88
03-AUG-2017,10081.15,10081.15,9998.25,10013.65,198665837,10714.1
02-AUG-2017,10136.3,10137.85,10054.2,10081.5,166463276,9165.92
01-AUG-2017,10101.05,10128.6,10065.75,10114.65,190000516,11515.29
31-JUL-2017,10034.7,10085.9,10016.95,10077.1,245096535,13131.89
28-JUL-2017,9996.55,10026.05,9944.5,10014.5,197491415,11996.8
27-JUL-2017,10063.25,10114.85,10005.5,10020.55,296782048,18601.99
26-JUL-2017,9983.65,10025.95,9965.95,10020.65,203697844,11403.3
25-JUL-2017,10010.55,10011.3,9949.1,9964.55,191206247,10491.32
24-JUL-2017,9936.8,9982.05,9919.6,9966.4,179905535,10837.2
21-JUL-2017,9899.6,9924.7,9838,9915.25,193286125,11860.28
20-JUL-2017,9920.2,9922.55,9863.45,9873.3,166083004,8942.56
19-JUL-2017,9855.95,9905.05,9851.65,9899.6,206376192,10935.6
18-JUL-2017,9832.7,9885.35,9792.05,9827.15,303007860,13184.22
17-JUL-2017,9908.15,9928.2,9894.7,9915.95,168596771,8310.48
14-JUL-2017,9913.3,9913.3,9845.45,9886.35,164456602,9187.71
13-JUL-2017,9855.8,9897.25,9853.45,9891.7,186866752,10244.56
12-JUL-2017,9807.3,9824.95,9787.7,9816.1,150045594,7966.44
11-JUL-2017,9797.45,9830.05,9778.85,9786.05,185322358,9908.41
10-JUL-2017,9719.3,9782.15,9646.45,9771.05,40142973,1920.78
07-JUL-2017,9670.35,9684.25,9642.65,9665.8,146232151,8514.53
06-JUL-2017,9653.6,9700.7,9639.95,9674.55,152001940,7539.21
05-JUL-2017,9619.75,9643.65,9607.35,9637.6,134849476,7311.1
04-JUL-2017,9645.9,9650.65,9595.5,9613.3,149313755,7774.69
03-JUL-2017,9587.95,9624,9543.55,9615,188690599,8720.76
30-JUN-2017,9478.5,9535.8,9448.75,9520.9,185202600,8783.59
29-JUN-2017,9522.95,9575.8,9493.8,9504.1,267283587,13395.85
28-JUN-2017,9520.2,9522.5,9474.35,9491.25,177652206,9103.73
27-JUN-2017,9594.05,9615.4,9473.45,9511.4,209593904,11084.51
23-JUN-2017,9643.25,9647.65,9565.3,9574.95,180580579,9092.74
22-JUN-2017,9642.65,9698.85,9617.75,9630,204888654,10738.45
21-JUN-2017,9648.1,9650.45,9608.6,9633.6,148490556,8023.4
20-JUN-2017,9670.5,9676.5,9643.75,9653.5,164437226,8476.67
19-JUN-2017,9626.4,9673.3,9614.9,9657.55,146146062,8144.36
16-JUN-2017,9595.45,9615.85,9565.5,9588.05,219808528,11920.62
15-JUN-2017,9617.9,9621.4,9560.8,9578.05,176423424,9868.08
14-JUN-2017,9621.55,9627.4,9580.45,9618.15,187378750,10540.68
13-JUN-2017,9615.55,9654.15,9595.4,9606.9,133734363,7056.83
12-JUN-2017,9646.7,9647.05,9598.5,9616.4,145786938,7686.89
09-JUN-2017,9638.55,9676.25,9608.15,9668.25,163897548,9078.71
08-JUN-2017,9682.4,9688.7,9641.5,9647.25,160165459,8822.63
07-JUN-2017,9663.95,9678.55,9630.55,9663.9,165669924,8989.36
06-JUN-2017,9704.25,9709.3,9630.2,9637.15,150379695,8416.55
05-JUN-2017,9656.3,9687.2,9640.7,9675.1,131685021,7192.24
